内部ID,item_id,站点,链接,title,商家名,商家地址,发货地址,价格,价格区间,近三天销量,近7天销量
9510194.00,184506943278.00,UK,https://www.ebay.co.uk/itm/184506943278,Womens Plushy Long Sleeve Bodycon Mini Dress Evening Party Sexy Ladies Dresses,sihuen-1,GB,"GB,Kilwinning",9.49,9.49-,8.00,35.00
,,,,,,,,,,,
9510206.00,293861653313.00,UK,https://www.ebay.co.uk/itm/293861653313,New Womens Frill Hem Collared Buttons Long line Shirt Ladies Dress Size 8-14 UK,naatshauk,United Kingdom,"GB,Manchester",18.99,18.99-,0.00,1.00
,,,,,,,,,,,
9510196.00,224219106509.00,UK,https://www.ebay.co.uk/itm/224219106509,Womens Lace Mini Dress Ladies Plus Size Summer Evening Party Cocktail Size 8 -22,uktechmanialtd,GB,"GB,Rochdale",4.99,4.99-,4.00,13.00
,,,,,,,,,,,
9510207.00,293823783745.00,UK,https://www.ebay.co.uk/itm/293823783745,UK WOMEN'S LADIES SEXY V NECK BODYCON ZIPPER DRESS PARTY COCKTAIL EVENING PROM,naimatoutfits,GB,"GB,Leicester",9.99,9.99-,2.00,3.00
,,,,,,,,,,,
9508561.00,224227094130.00,UK,https://www.ebay.co.uk/itm/224227094130,Sexy Women Sequin V Neck Bodycon Mini Dress Ladies Evening Party Jumper Dress UK,brownicon,CN,"GB,London(GB)",8.69,8.69-,2.00,3.00
,,,,,,,,,,,
9510214.00,254324316912.00,UK,https://www.ebay.co.uk/itm/254324316912,Women Sexy Lace Bodycon Dress Ladies Evening Party Club Cocktail Dress Size10-16,brownhappy2018,CN,"GB,London(GB)",7.45,7.45-,4.00,7.00
,,,,,,,,,,,
9510216.00,233787938775.00,UK,https://www.ebay.co.uk/itm/233787938775,Women Velvet Sexy V Neck Mini Dress Long Sleeve Ruffle Evening Cocktail Dress,perfectonly,CN,"GB,London",6.72,6.72-,1.00,3.00
,,,,,,,,,,,
9510198.00,353282346467.00,UK,https://www.ebay.co.uk/itm/353282346467,Womens Button Down Mini Shirt Dress Ladies Long Sleeve Casual Long Blouse Tops,gabrielle298,GB,"GB,London",10.98,10.98-,18.00,44.00
,,,,,,,,,,,
9510215.00,133585408185.00,UK,https://www.ebay.co.uk/itm/133585408185,UK Womens Puff Long Sleeve Bodycon Jumper Dress Ladies Party Casual Midi Dresses,jellycabin,HK,"GB,London GB",5.91,5.91-,5.00,16.00
,,,,,,,,,,,
9515978.00,193743130180.00,US,https://www.ebay.com/itm/193743130180,Women Long Sleeve Sweater Fleece Warm Sweatshirt Pullover T Shirt Casual Tops,dynast_56,US,"US,New York,Oceanside",16.49,16.49-,3.00,9.00
,,,,,,,,,,,
9515977.00,353296406997.00,UK,https://www.ebay.co.uk/itm/353296406997,Womens Hooded Sweatshirt Printing Pullover Jumper Ladies Casual Hoodies Tops,gabrielle298,GB,"GB,London",11.30,11.3-,3.00,9.00
,,,,,,,,,,,
9515976.00,143835601176.00,UK,https://www.ebay.co.uk/itm/143835601176,Kids Printed Hoodie Blanket Hooded Fleece Sweatshirt Oversized Giant Big Plush,smartyeru,China,"GB,Manchester",11.99,11.99-,0.00,14.00
,,,,,,,,,,,
9515979.00,133541908745.00,UK,https://www.ebay.co.uk/itm/133541908745,New High Quality Hooded Hoodie Wearable Oversized Sherpa Lined Snuggle Blanket,xsstock,GB,"GB,Irvine",29.99,29.99-,2.00,4.00
,,,,,,,,,,,
9515966.00,192521444717.00,UK,https://www.ebay.co.uk/itm/192521444717,Womens Ladies Colour Block Windbreaker Contrast Festival Hooded Jacket Coat Top,outofgasfashion,GB,"GB,Manchester",8.99,8.99-,1.00,2.00
,,,,,,,,,,,
