内部ID,item_id,站点,链接,title,商家名,商家地址,发货地址,价格,价格区间,近三天销量,近7天销量
9515978,193743130180,US,https://www.ebay.com/itm/193743130180,Women Long Sleeve Sweater Fleece Warm Sweatshirt Pullover T Shirt Casual Tops,dynast_56,US,"US,New York,Oceanside",16,16.49-,3,9
9515968,193792203507,US,https://www.ebay.com/itm/193792203507,Women Casual Long Sleeve Hooded Dress Top Print T Shirt Loose Blouse Tunic Dress,dynast_56,US,"US,New York,Oceanside",13,13.19-,3,5
9493628,313270012274,US,https://www.ebay.com/itm/313270012274,Women Casual Long Sleeve Colorblock T Shirt Blouse Loose Pullover Tunic Tops Tee,gljfc168,US,"US,New York,Oceanside",11,10.99-,59,157
9509551,124474510314,US,https://www.ebay.com/itm/124474510314,Women V Neck Stripe Cat Print t Shirt Long Sleeve Tunic Loose Casual Blouse Tops,fengkuangcuxiao678,CN,"CN,nan yang",11,10.75-,0,1
9511980,202595636560,US,https://www.ebay.com/itm/202595636560,Sleeveless Cardigan Vest Womens Long Tunic Top Drape Open Front Waterfall Casual,zoeysfashion,US,"US,New York,Amityville",12,11.9-,3,3
9511979,172890807871,US,https://www.ebay.com/itm/172890807871,Womens Open Front Fly Away Cardigan Sweater Long Sleeve With Pockets Loose Drape,zoeysfashion,US,"US,New York,Amityville",18,17.9-,0,2
9511967,383646789173,US,https://www.ebay.com/itm/383646789173,Mama Bear Sweatshirt Sweater Print Round Neck Long Sleeve Drawstring Hooded,klrikdlerfhj,CN,"CN,shenzhen",16,15.56-,0,0
9497583,193724779913,US,https://www.ebay.com/itm/193724779913,Women Long Sleeve Tye Die Pockets Hoodie Sweatshirt Pullover Blouse Casual Tops,dynast_56,US,"US,New York,Oceanside",13,13.19-,5,8
9510543,313320267372,US,https://www.ebay.com/itm/313320267372,Women High Neck Long Sleeve Bodycon Pencil Knit Sexy Party Casual Mini Dress,gljfc168,US,"US,New York,Oceanside",12,12.09-,8,23
8429111,313209849699,US,https://www.ebay.com/itm/313209849699,Women Long Sleeve High Neck Pocket Solid T Shirt Casual Loose Blouse Tunic Tops,gljfc168,US,"US,New York,Oceanside",12,12.09-,20,35
